municipio,consorcio,anos,tendencia,nivel,pos_intervencao,PIB
São Benedito do Sul,COMAGSUL,2016,15,1,4,97754.0
São Benedito do Sul,COMAGSUL,2017,16,1,5,96163.0
São Joaquim do Monte,COMAGSUL,2002,1,0,0,35872.0
São Joaquim do Monte,COMAGSUL,2003,2,0,0,40395.0
São Joaquim do Monte,COMAGSUL,2004,3,0,0,46254.0
São Joaquim do Monte,COMAGSUL,2005,4,0,0,55396.0
São Joaquim do Monte,COMAGSUL,2006,5,0,0,56179.0
São Joaquim do Monte,COMAGSUL,2007,6,0,0,61794.0
São Joaquim do Monte,COMAGSUL,2008,7,0,0,71756.0
São Joaquim do Monte,COMAGSUL,2009,8,0,0,81481.0
São Joaquim do Monte,COMAGSUL,2010,9,1,1,121436.0
São Joaquim do Monte,COMAGSUL,2011,10,1,2,123576.0
São Joaquim do Monte,COMAGSUL,2012,11,1,3,115771.0
São Joaquim do Monte,COMAGSUL,2013,12,1,4,119288.0
São Joaquim do Monte,COMAGSUL,2014,13,1,5,132182.0
São Joaquim do Monte,COMAGSUL,2015,14,1,6,143238.0
São Joaquim do Monte,COMAGSUL,2016,15,1,7,152766.0
São Joaquim do Monte,COMAGSUL,2017,16,1,8,168147.0
Vertente do Lério,COMANAS,2002,1,0,0,17277.0
Vertente do Lério,COMANAS,2003,2,0,0,18711.0
Vertente do Lério,COMANAS,2004,3,0,0,20159.0
Vertente do Lério,COMANAS,2005,4,0,0,23576.0
Vertente do Lério,COMANAS,2006,5,0,0,25638.0
Vertente do Lério,COMANAS,2007,6,1,1,27660.0
Vertente do Lério,COMANAS,2008,7,1,2,32293.0
Vertente do Lério,COMANAS,2009,8,1,3,36475.0
Vertente do Lério,COMANAS,2010,9,1,4,52062.0
Vertente do Lério,COMANAS,2011,10,1,5,57014.0
Vertente do Lério,COMANAS,2012,11,1,6,60197.0
Vertente do Lério,COMANAS,2013,12,1,7,67685.0
Vertente do Lério,COMANAS,2014,13,1,8,56594.0
Vertente do Lério,COMANAS,2015,14,1,9,61343.0
Vertente do Lério,COMANAS,2016,15,1,10,58956.0
Vertente do Lério,COMANAS,2017,16,1,11,67079.0
Belém de Maria,COMAGSUL,2002,1,0,0,21130.0
Belém de Maria,COMAGSUL,2003,2,0,0,22695.0
Belém de Maria,COMAGSUL,2004,3,0,0,26183.0
Belém de Maria,COMAGSUL,2005,4,1,1,29474.0
Belém de Maria,COMAGSUL,2006,5,1,2,32886.0
Belém de Maria,COMAGSUL,2007,6,1,3,34512.0
Belém de Maria,COMAGSUL,2008,7,1,4,34507.0
Belém de Maria,COMAGSUL,2009,8,1,5,40119.0
Belém de Maria,COMAGSUL,2010,9,1,6,48905.0
Belém de Maria,COMAGSUL,2011,10,1,7,54720.0
Belém de Maria,COMAGSUL,2012,11,1,8,57491.0
Belém de Maria,COMAGSUL,2013,12,1,9,62666.0
Belém de Maria,COMAGSUL,2014,13,1,10,63269.0
Belém de Maria,COMAGSUL,2015,14,1,11,62839.0
Belém de Maria,COMAGSUL,2016,15,1,12,72155.0
Belém de Maria,COMAGSUL,2017,16,1,13,76813.0
Afogados da Ingazeira,CIMPAJEU,2002,1,0,0,90195.0
Afogados da Ingazeira,CIMPAJEU,2003,2,0,0,98847.0
Afogados da Ingazeira,CIMPAJEU,2004,3,0,0,98120.0
Afogados da Ingazeira,CIMPAJEU,2005,4,1,1,111678.0
Afogados da Ingazeira,CIMPAJEU,2006,5,1,2,130875.0
Afogados da Ingazeira,CIMPAJEU,2007,6,1,3,138057.0
Afogados da Ingazeira,CIMPAJEU,2008,7,1,4,160368.0
Afogados da Ingazeira,CIMPAJEU,2009,8,1,5,183839.0
Afogados da Ingazeira,CIMPAJEU,2010,9,1,6,191904.0
Afogados da Ingazeira,CIMPAJEU,2011,10,1,7,232806.0
Afogados da Ingazeira,CIMPAJEU,2012,11,1,8,278970.0
Afogados da Ingazeira,CIMPAJEU,2013,12,1,9,329764.0
Afogados da Ingazeira,CIMPAJEU,2014,13,1,10,385724.0
Afogados da Ingazeira,CIMPAJEU,2015,14,1,11,365497.0
Afogados da Ingazeira,CIMPAJEU,2016,15,1,12,385412.0
Afogados da Ingazeira,CIMPAJEU,2017,16,1,13,405163.0
Afrânio,CISAPE,2002,1,0,0,26062.0
Afrânio,CISAPE,2003,2,0,0,29761.0
Afrânio,CISAPE,2004,3,0,0,34341.0
Afrânio,CISAPE,2005,4,0,0,41854.0
Afrânio,CISAPE,2006,5,0,0,47960.0
Afrânio,CISAPE,2007,6,0,0,53865.0
Afrânio,CISAPE,2008,7,1,1,60545.0
