Município,Ano,
,2008,18820
,2009,23657
,2010,25159
,2011,28781
,2012,29675
,2013,33768
,2014,37974
,2015,37011
,2016,38889
,2017,41240
Surubim (PE),2002,111594
,2003,116957
,2004,135215
,2005,159803
,2006,182220
,2007,208918
,2008,244894
,2009,273837
,2010,398380
,2011,442607
,2012,538659
,2013,596604
,2014,662351
,2015,654815
,2016,699165
,2017,771791
Tabira (PE),2002,47426
,2003,49084
,2004,56621
,2005,69071
,2006,76693
,2007,81185
,2008,92404
,2009,104828
,2010,113400
,2011,128855
,2012,151991
,2013,188414
,2014,210482
,2015,210454
,2016,226257
,2017,249042
Tacaimbó (PE),2002,23565
,2003,24618
,2004,27109
,2005,33182
,2006,38286
,2007,40360
,2008,44629
,2009,49899
,2010,54311
,2011,62232
,2012,67036
,2013,81637
,2014,96813
,2015,103108
,2016,115003
,2017,126856
Tacaratu (PE),2002,26140
,2003,29487
,2004,35348
,2005,40265
,2006,43878
,2007,50727
,2008,59939
,2009,65193
,2010,79676
,2011,90182
,2012,100462
,2013,117543
,2014,141935
,2015,275464
,2016,149948
,2017,170641
Tamandaré (PE),2002,42759
,2003,49697
,2004,58117
,2005,68599
,2006,80397
,2007,80567
,2008,99623
,2009,112153
,2010,159827
,2011,190233
,2012,219413
,2013,208656
,2014,232456
,2015,241838
,2016,276930
,2017,285465
Taquaritinga do Norte (PE),2002,41718
,2003,43331
,2004,49888
,2005,56947
,2006,64302
,2007,68717
,2008,93009
,2009,103413
,2010,119355
,2011,136359
,2012,179096
,2013,193041
,2014,212457
,2015,203769
,2016,224758
,2017,264932
Terezinha (PE),2002,9559
,2003,12729
,2004,14559
,2005,15714
,2006,16455
,2007,19472
,2008,24360
,2009,26606
,2010,31545
,2011,36253
,2012,34530
,2013,37921
,2014,43315
,2015,47387
,2016,51913
,2017,51417
Terra Nova (PE),2002,12543
,2003,13503
,2004,15789
,2005,21410
,2006,21893
,2007,26708
,2008,30866
,2009,38676
,2010,38700
,2011,43037
,2012,50649
,2013,52948
,2014,57473
,2015,58094
,2016,62601
,2017,67423
Timbaúba (PE),2002,176902
,2003,216676
,2004,244133
,2005,258977
,2006,313658
,2007,333448
,2008,359160
,2009,408517
,2010,471339
,2011,520299
,2012,591619
,2013,592476
,2014,644281
,2015,601959
,2016,619712
,2017,647078
Toritama (PE),2002,54358
,2003,67000
,2004,91104
,2005,107658
,2006,130391
,2007,161571
,2008,190240
,2009,200160
,2010,282076
,2011,357136
,2012,528127
,2013,576422
,2014,599977
,2015,571132
,2016,579219
,2017,624447
Tracunhaém (PE),2002,36697
,2003,41046
,2004,43876
,2005,47599
,2006,56702
,2007,56754
,2008,64491
,2009,74377
,2010,79874
,2011,85657
,2012,82967
,2013,84863
,2014,95902
,2015,106811
,2016,103239
,2017,101554
Trindade (PE),2002,50560
,2003,59565
,2004,58448
,2005,69133
,2006,85660
,2007,86465
,2008,114417
,2009,129295
,2010,157479
,2011,186384
,2012,213982
,2013,261824
,2014,273605
,2015,284063
,2016,291089
,2017,281832
Triunfo (PE),2002,28106
,2003,30357
,2004,31070
,2005,35831
,2006,41761
,2007,46491
,2008,52665
,2009,60906
,2010,66198
,2011,78199
,2012,87501
,2013,101882
,2014,112670
,2015,110441
,2016,130760
,2017,138875
Tupanatinga (PE),2002,30349
,2003,33923
,2004,40058
,2005,48582
,2006,56448
,2007,63657
,2008,74369
,2009,84514
,2010,98192
,2011,109655
,2012,127908
,2013,134988
,2014,146793
,2015,150550
,2016,172195
,2017,184087
Tuparetama (PE),2002,17537
,2003,19419
,2004,20319
,2005,22728
,2006,27288
,2007,29957
,2008,34088
,2009,36179
,2010,38870
,2011,46444
,2012,52284
,2013,56900
,2014,63785
,2015,64689
,2016,68985
,2017,75783
Venturosa (PE),2002,26276
,2003,28059
,2004,33530
,2005,41376
,2006,46635
,2007,54577
,2008,63511
,2009,69156
,2010,79376
,2011,93743
,2012,106324
,2013,109806
,2014,129587
,2015,142730
,2016,169835
,2017,207645
Verdejante (PE),2002,15646
,2003,16788
,2004,17791
,2005,22854
,2006,25545
,2007,24478
,2008,40206
,2009,37743
,2010,37419
,2011,43785
,2012,45099
,2013,50109
,2014,58498
,2015,58781
,2016,62126
,2017,64768
Vertente do Lério (PE),2002,17277
,2003,18711
,2004,20159
,2005,23576
,2006,25638
,2007,27660
,2008,32293
,2009,36475
,2010,52062
,2011,57014
,2012,60197
,2013,67685
,2014,56594
,2015,61343
,2016,58956
,2017,67079
Vertentes (PE),2002,25201
,2003,27901
,2004,32400
,2005,35114
,2006,42525
,2007,47177
,2008,56370
,2009,64551
,2010,80661
,2011,91222
,2012,112239
,2013,126498
,2014,140663
,2015,161396
,2016,147148
,2017,153721
Vicência (PE),2002,103299
,2003,120888
,2004,139004
,2005,167467
,2006,193410
,2007,175109
,2008,179654
,2009,196817
,2010,214258
,2011,251245
,2012,274324
,2013,288686
,2014,344479
,2015,342274
,2016,378060
,2017,357344
Vitória de Santo Antão (PE),2002,425549
,2003,478241
,2004,542737
,2005,625235
,2006,690138
,2007,798781
,2008,945066
,2009,1073335
,2010,1461947
,2011,1789173
,2012,2219786
,2013,2583944
,2014,2950014
,2015,3090716
,2016,3207949
,2017,3691943
Xexéu (PE),2002,24768
,2003,26518
,2004,30815
,2005,36816
,2006,40485
,2007,46153
,2008,49136
,2009,61965
,2010,65972
,2011,77146
,2012,76279
,2013,77246
,2014,92745
,2015,105004
,2016,114477
,2017,104732
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA",,
